,Document Type,counts
0,Article,574
1,Book,1
2,Book Chapter,16
3,Conference Paper,12
4,Data Paper,1
5,Editorial,5
6,Erratum,2
7,Letter,39
8,Note,19
9,Review,125
10,Short Survey,2
