,countries,counts
69,United States,398
68,United Kingdom,71
15,France,67
6,Brazil,46
28,Jamaica,43
46,Nigeria,25
45,Niger,23
9,Canada,22
27,Italy,19
23,India,17
18,Germany,16
43,Netherlands,14
14,Egypt,10
21,Guadeloupe,9
65,Turkey,8
54,Saudi Arabia,8
29,Japan,6
17,Georgia,6
19,Ghana,6
37,Malaysia,6
